PERNOD RICARD SA;L'OREAL;VINCI SA;BANCO BILBAO VIZCAYA ARGENTA;BANCO SANTANDER SA;ASML HOLDING NV;KONINKLIJKE PHILIPS NV;TELEFONICA SA;TOTAL SE;AIR LIQUIDE SA;AXA SA;BNP PARIBAS;DANONE;VIVENDI SE;ESSILORLUXOTTICA;LVMH MOET HENNESSY LOUIS VUI;KERING;AMADEUS IT GROUP SA;SAFRAN SA;KONINKLIJKE AHOLD DELHAIZE N;UNILEVER PLC;IBERDROLA SA;ING GROEP NV;LINDE PLC;INDUSTRIA DE DISENO TEXTIL;INTESA SANPAOLO;ENI SPA;ENGIE;ORANGE;ANHEUSER-BUSCH INBEV SA/NV;SANOFI;SOCIETE GENERALE SA;ENEL SPA;NOKIA OYJ;SCHNEIDER ELECTRIC SE;ALLIANZ SE-REG;AIRBUS SE;BAYER AG-REG;BAYERISCHE MOTOREN WERKE AG;CRH PLC;BASF SE;SIEMENS AG-REG;VOLKSWAGEN AG-PREF;MUENCHENER RUECKVER AG-REG;FRESENIUS SE & CO KGAA;SAP SE;ADIDAS AG;DEUTSCHE TELEKOM AG-REG;DEUTSCHE POST AG-REG;MERCEDES-BENZ GROUP AG;DEUTSCHE BOERSE AG
154.0;223.2;83.52;5.336;4.2415;163.88;35.885;7.424;50.37;99.9090909090909;22.455;44.94;66.72;25.45;108.1;308.0;494.5;65.86;120.45;22.26;47.3;7.312;11.63;147.9;26.86;2.1655;15.11;13.2;13.315;71.65;75.03;27.215;5.304;5.334;69.98;197.7;114.02;72.35;74.67;28.04;68.31;97.42;154.24;208.5;48.67;94.68;215.8;14.585;27.42;53.48;111.75
153.85;226.2;83.78;5.307;4.244;163.92;36.145;7.49;50.85;100.7727272727273;22.285;44.515;66.93;25.61;109.05;309.0;493.4;65.44;120.9;22.62;47.8;7.35;11.244;149.25;26.79;2.1615;15.184;13.175;13.36;72.68;76.43;27.025;5.328;5.378;69.56;198.14;113.24;72.81;75.06;28.17;68.13;97.22;154.22;208.9;48.44;95.37;216.7;14.69;27.4;52.91;112.0
154.0;224.0;83.68;5.372;4.3145;160.94;36.0;7.527;51.02;101.6363636363636;22.355;44.69;67.36;25.7;108.75;306.9;489.0;64.94;120.7;22.685;47.5;7.376;10.994;149.4;26.91;2.182;15.28;13.115;13.26;72.47;76.58;27.11;5.398;5.35;69.66;198.46;113.72;72.47;74.53;27.86;68.08;97.22;152.18;209.8;48.19;95.2;217.6;14.685;27.1;52.2;112.4
156.05;228.1;84.02;5.219;4.163;159.4;35.52;7.556;51.02;100.6363636363636;22.225;43.18;68.02;25.55;108.65;306.05;487.0;66.02;120.15;22.435;47.5;7.636;10.708;149.5;26.86;2.1335;15.28;13.28;13.425;71.75;76.64;25.94;5.502;5.34;69.26;197.26;112.74;71.14;73.09;27.41;67.06;96.45;149.94;208.5;47.89;95.32;215.6;14.87;27.45;50.44;112.7
155.55;229.1;84.36;5.136;4.0785;158.3;34.895;7.576;50.33;100.7727272727273;21.985;42.345;67.91;25.57;101.8;305.8;486.8;66.08;119.55;22.245;48.8;7.548;10.444;149.9;26.41;2.119;14.968;13.24;13.565;71.48;76.78;25.3;5.484;5.338;67.6;195.88;111.52;69.49;72.16;27.45;66.4;95.14;147.06;208.7;47.19;95.6;210.6;14.865;27.65;50.08;113.7
155.2;227.3;84.82;5.201;4.1375;161.18;35.38;7.636;50.76;101.3181818181818;22.17;43.33;67.93;25.61;103.65;306.4;487.5;66.1;117.55;22.29;48.1;7.588;10.722;151.85;26.36;2.1375;15.122;13.28;13.595;71.74;76.96;26.355;5.46;5.42;68.76;196.8;112.96;68.4;73.18;27.8;66.86;95.78;146.66;209.0;48.17;95.84;212.6;14.965;28.07;50.75;113.1
154.95;228.3;84.04;5.181;4.142;162.0;35.235;7.57;50.66;101.2272727272727;22.15;43.045;67.61;25.61;103.85;308.6;487.6;65.36;117.0;22.37;48.1;7.634;10.672;152.95;26.27;2.136;15.164;13.335;13.525;71.82;77.4;26.3;5.498;5.43;69.1;196.66;114.58;67.04;73.1;27.59;66.8;96.11;143.98;209.1;48.3;95.6;209.8;15.005;28.45;50.56;113.35
155.35;228.9;84.0;5.275;4.265;161.92;35.545;7.594;51.21;101.5;22.31;43.555;67.95;25.82;102.45;310.5;490.5;65.52;117.25;22.565;48.8;7.588;10.818;154.75;25.1;2.1545;15.544;13.335;13.59;71.13;77.8;26.73;5.486;5.4;69.4;198.44;116.88;68.04;73.63;27.7;67.08;96.16;145.54;209.3;49.11;96.4;204.8;15.11;28.81;50.88;114.65
157.5;232.6;85.82;5.282;4.2955;162.16;35.745;7.609;51.45;102.2272727272727;22.465;43.84;68.71;25.93;105.85;315.6;494.6;65.5;117.4;22.56;49.8;7.596;10.93;153.85;25.07;2.17;15.538;13.3;13.785;70.68;78.35;27.0;5.488;5.468;69.82;199.4;117.0;67.79;73.78;27.47;66.19;96.84;144.16;211.5;48.63;97.0;211.6;15.19;29.27;50.97;114.2
158.8;236.1;86.28;5.373;4.3815;169.7;36.415;7.811;51.7;103.4090909090909;22.795;44.285;69.05;25.9;106.4;318.6;496.3;67.5;118.8;22.97;50.6;7.672;11.084;154.4;25.96;2.199;15.588;13.515;14.155;71.71;79.55;27.295;5.47;5.616;70.72;200.9;117.68;67.75;74.09;28.04;67.51;97.98;144.32;216.6;48.97;99.35;212.4;15.46;29.47;51.67;115.6
157.9;235.2;86.76;5.421;4.4285;167.4;36.02;7.825;52.27;102.2727272727273;22.8;45.1;69.13;25.94;105.2;317.15;496.0;67.48;119.85;23.49;50.4;7.722;10.97;153.3;26.2;2.233;15.744;13.5;14.27;72.36;79.22;27.97;5.498;5.558;70.34;200.2;118.0;68.03;74.17;27.86;66.95;97.98;145.5;216.6;48.12;98.85;207.4;15.65;29.57;51.1;115.0
